Attraction ID,Attraction,Neighborhood,Lats,Longs
1,Westfield World Trade Center Oculus,Manhattan,40.71228274,-74.01127512
2,Summit One Vanderbilt,Manhattan,40.75308659,-73.97870769
3,Frick Madison,Manhattan,40.77379251,-73.96401296
4,RISENY,Manhattan,40.75774665,-73.98516537
5,Edge Observation Deck,Manhattan,40.75427393,-74.00095294
6,Citi Field,Queens,40.7572983,-73.84580822
7,Little Island,Manhattan,40.74224055,-74.01073949
8,Queens County Farm Museum,Queens,40.74766136,-73.72204882
9,TWA Hotel,Queens,40.6459314,-73.77770789
10,Empire State Building,Manhattan,40.74862336,-73.98557857
11,Brooklyn Bridge,Brooklyn,40.70786132,-73.99710762
12,Central Park,Manhattan,40.78274281,-73.96691309
13,Top of the Rock,Manhattan,40.75957296,-73.97936579
14,The Statue of Liberty,Brooklyn,40.68938361,-74.04447894
15,Vessel,Manhattan,40.75395357,-74.00217516
16,One World Observatory,Manhattan,40.71353578,-74.01308617
17,The Metropolitan Museum of Art,Manhattan,40.78079471,-73.9631221
18,Chrysler Building,Manhattan,40.75190228,-73.97555748
19,The High Line,Manhattan,40.7481839,-74.0047946
20,Rockefeller Center,Manhattan,40.75887431,-73.97864873
21,Grand Central Terminal,Manhattan,40.75405909,-73.97714357